player_id,player_name,position,receptions,targets,receiving_yards
00-0036900,J.Chase,WR,127,175,1708.0
00-0036322,J.Jefferson,WR,108,162,1591.0
00-0036963,A.St. Brown,WR,123,151,1400.0
00-0039915,L.McConkey,WR,91,126,1346.0
00-0035659,T.McLaurin,WR,96,140,1323.0
00-0039893,B.Thomas,WR,87,133,1282.0
00-0037238,D.London,WR,100,158,1271.0
00-0035676,A.Brown,WR,79,120,1242.0
00-0036407,J.Jeudy,WR,90,145,1229.0
00-0036554,N.Collins,WR,80,115,1209.0
00-0039337,M.Nabers,WR,109,170,1204.0
00-0036358,C.Lamb,WR,101,152,1194.0
00-0034348,C.Sutton,WR,86,144,1156.0
00-0039075,P.Nacua,WR,90,129,1131.0
00-0038543,J.Smith-Njigba,WR,100,137,1130.0
00-0037740,G.Wilson,WR,101,153,1104.0
00-0031408,M.Evans,WR,81,117,1096.0
00-0031381,D.Adams,WR,85,141,1063.0
00-0039064,Z.Flowers,WR,74,116,1059.0
00-0034960,J.Meyers,WR,87,129,1027.0
00-0036912,D.Smith,WR,84,106,1023.0
00-0037240,J.Williams,WR,59,95,1020.0
00-0034837,C.Ridley,WR,64,120,1017.0
00-0037261,K.Shakir,WR,94,120,995.0
00-0035640,D.Metcalf,WR,66,108,992.0
00-0036309,D.Mooney,WR,64,106,992.0
00-0037247,G.Pickens,WR,64,108,987.0
00-0036259,J.Jennings,WR,77,113,975.0
00-0034827,D.Moore,WR,98,140,966.0
00-0033040,T.Hill,WR,81,122,959.0
00-0039894,X.Worthy,WR,78,119,925.0
00-0036410,T.Higgins,WR,73,109,911.0
00-0038994,J.Addison,WR,66,107,904.0
00-0039146,J.Reed,WR,59,79,903.0
00-0039849,M.Harrison,WR,62,116,885.0
00-0036550,R.Bateman,WR,51,79,846.0
00-0037664,A.Pierce,WR,37,69,824.0
00-0036252,M.Pittman,WR,69,111,808.0
00-0038997,J.Downs,WR,72,107,803.0
00-0033908,C.Kupp,WR,73,108,800.0
00-0036613,J.Waddle,WR,58,83,744.0
00-0030279,K.Allen,WR,70,121,744.0
00-0039919,R.Odunze,WR,54,101,734.0
00-0038544,Q.Johnston,WR,55,96,711.0
00-0038117,W.Robinson,WR,93,140,699.0
00-0034407,R.McCloud,WR,62,87,686.0
00-0035719,D.Samuel,WR,51,81,670.0
00-0038977,T.Dell,WR,51,81,667.0
00-0030564,D.Hopkins,WR,59,88,639.0
00-0038621,D.Douglas,WR,66,87,621.0
00-0038124,C.Watson,WR,29,53,620.0
00-0030035,A.Thielen,WR,48,62,615.0
00-0037816,R.Doubs,WR,48,74,614.0
00-0037666,J.Tolbert,WR,49,79,610.0
00-0032775,D.Robinson,WR,35,73,602.0
00-0032211,T.Lockett,WR,49,74,600.0
00-0038608,K.Boutte,WR,43,68,589.0
00-0031544,A.Cooper,WR,50,93,588.0
00-0036988,J.Palmer,WR,39,65,584.0
00-0036849,T.Atwell,WR,43,63,580.0
00-0039901,K.Coleman,WR,32,65,578.0
00-0033921,C.Godwin,WR,50,62,576.0
00-0035535,D.Slayton,WR,39,71,573.0
00-0037837,C.Austin,WR,37,60,573.0
00-0035208,O.Zaccheaus,WR,52,74,551.0
00-0038559,M.Wilson,WR,47,71,548.0
00-0038563,T.Tucker,WR,47,81,539.0
00-0036980,E.Moore,WR,61,102,538.0
00-0036626,D.Brown,WR,44,58,537.0
00-0034521,A.Lazard,WR,37,61,530.0
00-0038976,M.Mims,WR,41,56,515.0
00-0039855,J.McMillan,WR,39,62,502.0
00-0039342,X.Legette,WR,49,84,497.0
00-0036182,N.Westbrook-Ikhine,WR,32,60,497.0
00-0031588,S.Diggs,WR,47,64,496.0
00-0033555,M.Hollins,WR,36,58,482.0
00-0038619,A.Iosivas,WR,36,61,479.0
00-0039491,J.Coker,WR,32,46,478.0
00-0039424,D.Vele,WR,41,57,475.0
00-0038393,D.Wicks,WR,41,82,454.0
00-0033591,N.Brown,WR,35,56,453.0
00-0037291,J.Nailor,WR,31,47,447.0
00-0037801,K.Turpin,WR,31,52,420.0
